"No.","Time","Source","Destination","Protocol","Length","Info"
"9353","85.779732","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9358","85.785600","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9359","85.793387","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9366","85.799337","192.207.0.1","192.168.0.217","IDN","81","Unknown (0x9c)"
"9367","85.802218","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9387","85.811172","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9388","85.816055","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9393","85.821709","192.207.0.1","192.168.0.217","IDN","103","Unknown (0x9c)"
"9394","85.824114","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9395","85.833665","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9396","85.842308","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9397","85.847548","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9398","85.856884","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9399","85.864791","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9400","85.872672","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9401","85.880641","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9402","85.887932","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9403","85.895799","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9404","85.903912","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9406","85.911582","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9407","85.920109","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9408","85.927694","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9409","85.934864","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9410","85.943206","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9411","85.950753","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9412","85.958171","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9413","85.966375","192.168.0.217","192.207.0.1","IDN","127","Unknown (0x98)"
"9421","85.973369","192.207.0.1","192.168.0.217","IDN","103","Unknown (0x9c)"
"9423","85.973822","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9430","85.981805","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9431","85.989158","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9432","85.997166","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9433","86.001926","192.207.0.1","192.168.0.217","IDN","81","Unknown (0x9c)"
"9434","86.003904","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9435","86.009300","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9437","86.019713","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9439","86.024709","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9441","86.025672","192.207.0.1","192.168.0.217","IDN","103","Unknown (0x9c)"
"9452","86.032704","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9453","86.044779","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9454","86.051691","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9455","86.056493","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9456","86.063997","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9457","86.070882","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9458","86.083190","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9459","86.089856","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9460","86.094783","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9461","86.105938","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9462","86.111025","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9463","86.117910","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9464","86.121262","192.168.0.217","85.236.96.230","UDP","74","52851  >  54004 Len=32"
"9465","86.129288","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9466","86.133911","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9467","86.140619","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9468","86.150030","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9469","86.156730","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9470","86.168123","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9471","86.172655","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9472","86.177972","192.207.0.1","192.168.0.217","IDN","88","Unknown (0x9c)"
"9474","86.177972","192.207.0.1","192.168.0.217","IDN","81","Unknown (0x9c)"
"9475","86.179984","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
